"PMID","h_all_countries","a_all_countries","match"
"33576798","Japan","Japan","MATCH"
"33677064","c(""Spain"", ""Italy"")","c(""Spain"", ""Italy"")","MATCH"
"33724838","Germany","Germany","MATCH"
"33417691","c(""China"", ""Kenya"")","c(""China"", ""Kenya"")","MATCH"
"33166383",NA,"Czechia",NA
"34349739","c(""United_Kingdom"", NA)","United_Kingdom","MATCH"
"34060868",NA,"c(""United_States"", ""France"")",NA
"34081565",NA,"South_Korea",NA
"33759252","Austria","Austria","MATCH"
"32324748","Bangladesh","Bangladesh","MATCH"
"32761142","United_States","United_States","MATCH"
"32396365",NA,"United_States",NA
"32502232","c(NA, ""United_States"")","c("" "", ""United_States"")","MATCH"
"33279968","c(""United_States"", NA)","c(""United_States"", ""Italy"", "" "", ""Argentina"")","NOT MATCH"
"33963857","France","France","MATCH"
"33193666","China","China","MATCH"
"33740463","c(""Japan"", ""Germany"", ""Jersey, Jersey, United_States, , "", ""United_States"", ""United_Kingdom, China, China, , "")","c(""Japan"", ""Germany"", ""United_States"", ""United_Kingdom"", ""China"")","NOT MATCH"
"31829415","c(""Hungary"", ""Australia"")","c(""Hungary"", ""Australia"")","MATCH"
"33719338","China","China","MATCH"
"34046592","United_States","United_States","MATCH"
"33068435","c(""United_States"", ""Pakistan"", ""Australia"", ""China"", ""United_Kingdom"")","c(""United_States"", ""Pakistan"", ""Australia"", ""China"", ""United_Kingdom"")","MATCH"
"33599246","Canada","Canada","MATCH"
"34032471","United_States","United_States","MATCH"
"33045727","United_States","United_States","MATCH"
"33103271","c(""China"", NA, ""United_States"", ""Germany"", ""France"")","c(""China"", ""South_Korea"", ""United_States"", ""Germany"", ""France"")","NOT MATCH"
"31991337","United_States","United_States","MATCH"
"34061826","c(NA, ""Germany"")","c(""United_States"", ""Germany"")","NOT MATCH"
"33010177","China","China","MATCH"
"33152070","United_Kingdom","United_Kingdom","MATCH"
"34108585","c(""Japan"", NA)","c(""Japan"", ""Saudi_Arabia"")","NOT MATCH"
"33068406","c(""United_Kingdom"", ""Italy"")","c(""United_Kingdom"", "" "")","MATCH"
"32621601","c(""China"", ""United_States"")","c(""China"", ""United_States"")","MATCH"
"33084889","c(""Netherlands"", ""United_Kingdom"", ""Denmark"")","c(""Netherlands"", ""United_Kingdom"", ""Denmark"")","MATCH"
"33689356","Germany","Germany","MATCH"
"33311384","Brazil","Brazil","MATCH"
"33095862",NA,"c(""Brazil"", ""Australia"", ""United_States"")",NA
"34325658","Brazil","Brazil","MATCH"
"34263466","China","China","MATCH"
"33927717","China","China","MATCH"
"33231677","c(NA, ""Germany"")","c(""Russia"", ""Germany"")","MATCH"
"34247232","France","France","MATCH"
"34244719","China","China","MATCH"
"34252246","c(""Italy"", ""Belgium"", ""Hungary"")","c(""Italy"", ""Belgium"", ""Hungary"")","MATCH"
"33485793","Taiwan","Taiwan","MATCH"
"34013639","China","China","MATCH"
"34285834","Thailand","Thailand","MATCH"
"33110585","c(""Vietnam"", NA)","c(""Vietnam"", ""South_Korea"")","NOT MATCH"
"33359127","China","China","MATCH"
"34251213","c(""China"", NA)","c(""China"", ""United_States"")","NOT MATCH"
"33125652","c(""Canada"", ""Belgium"", ""Norway"", ""United_Kingdom"")","c(""Canada"", ""Belgium"", ""Norway"", "" "")","NOT MATCH"
"33995899","c(""United_States"", ""United_Kingdom"")","c(""United_States"", ""United_Kingdom"")","MATCH"
"33181824","c(""China"", NA, ""Australia"")","c(""China"", ""Australia"")","MATCH"
"33661371","c(""Japan"", NA, ""China"")","c(""Japan"", ""Saudi_Arabia"", ""China"")","NOT MATCH"
"32435678",NA,"United_States",NA
"32436344","Canada","Canada","MATCH"
"33843105",NA,"Russia",NA
"33010170","c(""Netherlands"", ""Denmark"")","c(""Netherlands"", ""Denmark"")","MATCH"
"34154536","China","China","MATCH"
"32818254","Spain","Spain","MATCH"
"33080015","United_States","United_States","MATCH"
"34310736","Austria","Austria","MATCH"
"33554860",NA,"United_States",NA
"34240464","Sweden","Sweden","MATCH"
"33500403","c(""Germany"", ""Denmark"", NA, ""Mexico"", ""United_States"", ""Norway"", ""Canada"", ""Italy"")","c(""Germany"", ""Denmark"", ""United_Kingdom"", ""Mexico"", ""United_States"", ""Norway"", ""Canada"", "" "", ""Italy"")","NOT MATCH"
"34318869","c(NA, ""Switzerland"")","Switzerland","MATCH"
"32507889","c(""Argentina"", ""Germany"", ""United_Kingdom"")","c(""Argentina"", ""Germany"", ""United_Kingdom"")","MATCH"
"33963869","c(""Greece"", ""Germany"", ""United_Kingdom"")","c(""Greece"", ""Germany"", ""United_Kingdom"")","MATCH"
"33306801","United_States","United_States","MATCH"
"33406221","China","China","MATCH"
"33211864","c(""Japan"", NA, ""Sweden"")","c(""Japan"", ""Sweden"")","MATCH"
"33997188","c(NA, ""Austria"", ""India"")","c(""Czechia"", ""Austria"", "" "")","NOT MATCH"
"33226064","United_States","United_States","MATCH"
"33494129",NA,"South_Korea",NA
"33221906","c(""China"", ""Australia"")","c(""China"", ""Australia"")","MATCH"
"33270111","c(""United_Kingdom"", ""United_States"", ""Spain"", ""Switzerland"", ""Poland"")","c(""United_Kingdom"", ""United_States"", ""Spain"", ""Switzerland"", ""Poland"")","MATCH"
"33952239","United_States","United_States","MATCH"
"33219685","China","China","MATCH"
"33401309","c(""China"", NA)","c(""China"", "" "")","MATCH"
"33166387","c(""Japan"", ""United_States"", ""United_Kingdom"")","c(""Japan"", ""United_States"", ""United_Kingdom"")","MATCH"
"33119759","c(""China"", ""Japan"", NA, ""Spain"", ""Russia"", ""United_Kingdom"", ""Hungary"", ""Thailand"", ""Mexico"", ""United_States"", ""Belgium"")","c(""China"", "" "", ""Japan"", ""South_Korea"", ""Czechia"", ""Spain"", ""Russia"", ""New_Zealand"", ""United_Kingdom"", ""Hungary"", ""Thailand"", ""Mexico"", ""United_States"", ""Belgium"")","NOT MATCH"
"33537385","Italy","Italy","MATCH"
"33968730","c(""China"", NA)","c(""China"", ""United_States"")","NOT MATCH"
"33942461","c(""United_States"", ""Slovenia"")","c(""United_States"", ""Slovenia"")","MATCH"
"33965348","China","China","MATCH"
"33151297","c(""Germany"", NA, ""Canada"", ""United_Kingdom"")","c(""Germany"", ""South_Africa"", ""Canada"", ""United_Kingdom"")","NOT MATCH"
"34127402","United_States","United_States","MATCH"
"33095594","c(""Armenia"", ""Austria"", ""Belarus"", ""Belgium"", ""Brazil"", ""Bulgaria"", ""China"", ""Colombia"", ""Croatia"", ""Cyprus"", NA, ""Ecuador"", ""Egypt"", ""Estonia"", ""Finland"", ""France"", ""Georgia"", ""Germany"", ""Greece"", ""Hungary"", ""India"", ""Iran"", ""Ireland"", ""Italy"", ""Latvia"", ""Lithuania"", ""Malaysia"", ""Mexico"", ""Montenegro"", ""Pakistan"", ""Poland"", ""Portugal"", ""Russia"", ""Serbia"", ""Spain"", ""Switzerland"", ""Taiwan"", ""Thailand"", ""Turkey"", ""Ukraine"", ""United_States"", ""Jersey, United_States"", ""Jersey, Jersey, United_States, , ""
)","c(""Armenia"", ""Austria"", ""Belarus"", "" "", ""Belgium"", ""Brazil"", ""Bulgaria"", ""China"", ""Colombia"", ""Croatia"", ""Cyprus"", ""Czechia"", ""Ecuador"", ""Egypt"", ""Estonia"", ""Finland"", ""France"", ""Georgia"", ""Germany"", ""Greece"", ""Hungary"", ""India"", ""Iran"", ""Ireland"", ""Italy"", ""South_Korea"", ""Latvia"", ""Malaysia"", ""Mexico"", ""Montenegro"", ""New_Zealand"", ""Pakistan"", ""Poland"", ""Portugal"", ""Russia"", ""Serbia"", ""Spain"", ""Sri_Lanka"", ""Switzerland"", ""Taiwan"", ""Thailand"", ""Turkey"", ""Ukraine"", ""United_Kingdom"", ""United_States""
)","NOT MATCH"
"34007299","China","China","MATCH"
"34046172","United_States","United_States","MATCH"
"32696292","India","c(""India"", "" "")","MATCH"
"33574307","United_States","United_States","MATCH"
"33237329","c(""Italy"", ""Argentina"", ""Belgium"", ""Hungary"", ""United_Kingdom"")","c(""Italy"", ""Argentina"", ""Belgium"", ""Hungary"", ""United_Kingdom"")","MATCH"
"34122523","China","China","MATCH"
"32140729","United_States"," ","NOT MATCH"
"33238003","c(""France"", ""Uruguay"")","c(""France"", ""Uruguay"")","MATCH"
"33495705","Austria","Austria","MATCH"
"33749993","c(""Germany"", ""United_Kingdom"")","c(""Germany"", "" "", ""United_Kingdom"")","MATCH"
"33897975",NA,"c(""United_States"", ""United_Kingdom"")",NA
"33342295","Canada","c("" "", ""Canada"")","MATCH"
"33046717","United_States","United_States","MATCH"
"33647438","United_Kingdom","United_Kingdom","MATCH"
"34316700","Germany","Germany","MATCH"
"34297749","c(""Montenegro"", ""Italy"")","c(""Montenegro"", ""Italy"")","MATCH"
"34245304","France","France","MATCH"
"33769951",NA,"United_States",NA
"33599248","France","France","MATCH"
"33045737","China","China","MATCH"
"33193550",NA,"United_States",NA
"34004273","c(""France"", ""Australia"", ""Australia, United_Kingdom"")","c(""France"", ""Australia"", ""United_Kingdom"")","MATCH"
"32778890","c(NA, ""China"")","China","MATCH"
"32990748","China","China","MATCH"
"33510575","Spain","Spain","MATCH"
"34305610","China","China","MATCH"
"32472030","China","China","MATCH"
"33909069",NA,NA,NA
"32820322","China","China","MATCH"
"33821874","Brazil","Brazil","MATCH"
"33757430","United_States","United_States","MATCH"
"32920000","Serbia","Serbia","MATCH"
"32773643","Taiwan","Taiwan","MATCH"
"32493955","India","India","MATCH"
"32090261","India","India","MATCH"
"33290552",NA,NA,NA
"33203359","China","China","MATCH"
"33889687","Argentina","Argentina","MATCH"
"34142845","Mexico","c(""Mexico"", "" "")","MATCH"
"33418085","China","China","MATCH"
"33709443","c(""France"", ""Belgium"")","c(""France"", ""Belgium"")","MATCH"
"33125055","c(""United_States"", ""France"", ""Greece"", ""Netherlands"", NA)","c(""United_States"", ""France"", ""Greece"", ""Netherlands"", ""United_Arab_Emirates"")","NOT MATCH"
"33822911","c(""Portugal"", ""Netherlands"")","c(""Portugal"", ""Netherlands"")","MATCH"
"33667090",NA,"United_States",NA
"32386298","United_States","United_States","MATCH"
"33137183","United_States","United_States","MATCH"
"34125008","United_States","United_States","MATCH"
"33211869","c(""United_Kingdom"", ""United_States"", ""Germany"", ""France"")","c(""United_Kingdom"", ""United_States"", ""Germany"", "" "", ""France"")","MATCH"
"31495872","China","China","MATCH"
"33258964","Thailand","Thailand","MATCH"
"33313828","Canada","Canada","MATCH"
"31642484","China","China","MATCH"
"33539888","China","China","MATCH"
"31679514","c(""Australia"", ""Canada"", ""United_States"")","c(""Australia"", ""Canada"", ""United_States"")","MATCH"
"33294866","United_States","United_States","MATCH"
"30874795","Brazil","Brazil","MATCH"
"32025315","China","China","MATCH"
"34165986",NA,"United_States",NA
"33735949","c(""China"", ""Germany"")","c(""China"", ""Germany"")","MATCH"
"33331653","c(""Chile"", NA, ""Germany"", ""Poland"", ""Australia"", ""Denmark"", ""France"", ""Ireland"", ""United_States"", ""United_Kingdom"", ""Netherlands"")","c(""Chile"", ""New_Zealand"", ""Germany"", ""Poland"", ""Australia"", ""Denmark"", ""France"", "" "", ""United_States"", ""United_Kingdom"", ""Netherlands"")","NOT MATCH"
"34159186","c(""Germany"", ""Austria"")","c(""Germany"", ""Austria"")","MATCH"
"33045776","China","China","MATCH"
"31584086","China","China","MATCH"
"33973408","United_States","United_States","MATCH"
"33174597","Japan","Japan","MATCH"
"33305318","c(""Belgium"", ""Argentina"", ""Germany"", ""Italy"", ""France"", ""Portugal"", ""Sweden"", ""Canada"", ""United_States"", ""United_Kingdom"", ""Hungary"")","c(""Belgium"", ""Argentina"", ""Germany"", ""Italy"", ""France"", ""Portugal"", ""Sweden"", ""Canada"", ""United_States"", ""United_Kingdom"", ""Hungary"")","MATCH"
"34122478","c(""China"", NA)","c(""China"", ""United_States"")","NOT MATCH"
"33068436","China","China","MATCH"
"32345779","India","India","MATCH"
"33768085",NA,"Czechia",NA
"33119753",NA,NA,NA
"32685631","Malaysia","Malaysia","MATCH"
"33929018",NA,"c(""South_Africa"", ""Saudi_Arabia"")",NA
"33676930","United_States","United_States","MATCH"
"32508104","Belgium","Belgium","MATCH"
"33847696","Germany","Germany","MATCH"
"34224878","China","China","MATCH"
"33151290","United_States","United_States","MATCH"
"33603824","Egypt","Egypt","MATCH"
"34157965","c(""China"", ""Ethiopia"", ""Senegal"", ""Benin"")","c(""China"", ""Ethiopia"", ""Senegal"", ""Benin"")","MATCH"
"33306787","China","China","MATCH"
"34023906","France","France","MATCH"
"33212503","c(""Australia"", ""United_States"", ""Japan"")","c(""Australia"", ""United_States"", "" "")","MATCH"
"34188160","India","India","MATCH"
"33196841","India","India","MATCH"
"33948455","Germany","Germany","MATCH"
"33247934","China","China","MATCH"
"33797707","c(""India"", ""Canada"")","c(""India"", ""Canada"")","MATCH"
"31665454","Switzerland","Switzerland","MATCH"
"34339611","Turkey","Turkey","MATCH"
"33113081","India","India","MATCH"
"31688940","United_States","United_States","MATCH"
"34183042","China","China","MATCH"
"33981200","China","China","MATCH"
"30371822","c(""France"", ""United_States"")","c(""France"", ""United_States"")","MATCH"
"33662628","China","China","MATCH"
"33950237","United_States","c(""United_States"", "" "")","MATCH"
"33750297","c(""United_Kingdom"", ""Germany"", ""Argentina"", ""Sweden"", ""Serbia"", ""Israel"", ""Croatia"", ""Kenya"")","c(""United_Kingdom"", "" "", ""Germany"", ""Argentina"", ""Serbia"", ""Israel"", ""Croatia"", ""Kenya"")","NOT MATCH"
"32487193","China","China","MATCH"
"33175872",NA,"United_States",NA
"33125079","c(""France"", ""United_Kingdom"")","c(""France"", ""United_Kingdom"")","MATCH"
"33045747","c(""United_Kingdom"", ""United_States"")","c(""United_Kingdom"", ""United_States"")","MATCH"
"33465550","India","India","MATCH"
"33655207","Spain","Spain","MATCH"
"31452162","Georgia, United_States","United_States","MATCH"
"34152132",NA,"United_States",NA
"33215706","India","India","MATCH"
"33787284","c(""Germany"", NA)","c(""Germany"", "" "", ""United_States"")","NOT MATCH"
"34313401","c(""Italy"", ""Switzerland"")","c(""Italy"", ""Switzerland"")","MATCH"
"32592631","c(""Poland"", ""United_States"")","c(""Poland"", ""United_States"")","MATCH"
"33657667","China","China","MATCH"
"33594085","United_Kingdom","United_Kingdom","MATCH"
"33430968","Germany","Germany","MATCH"
"34313872","c(""United_States"", ""Japan"")","c(""United_States"", ""Japan"")","MATCH"
"33045751","China","China","MATCH"
"33929893","United_States","c(""United_States"", "" "")","MATCH"
"31612961","United_Kingdom","United_Kingdom","MATCH"
"32055858","China","China","MATCH"
"31724722","Japan","Japan","MATCH"
"33759118","Italy","Italy","MATCH"
"33191981","Italy","Italy","MATCH"
"34038437",NA,"South_Korea",NA
"34107016","Italy","c(""Italy"", "" "")","MATCH"
"34197127","India","India","MATCH"
"33999203","c(""Germany"", ""Luxembourg"", ""China"", ""Israel"", ""United_States"", ""Poland"", ""Australia"", ""Philippines"", NA)","c(""Germany"", ""Luxembourg"", ""China"", ""Israel"", ""United_States"", "" "", ""Australia"", ""Philippines"", ""South_Korea"")","NOT MATCH"
"33245761","c(""United_States"", ""Canada"", ""Ukraine"")","c(""United_States"", ""Canada"", ""Ukraine"")","MATCH"
"33546584","Brazil","Brazil","MATCH"
"32294193","China","China","MATCH"
"33765325","c(""Canada"", ""China"")","c(""Canada"", ""China"")","MATCH"
"33086069","United_States","United_States","MATCH"
"32111231","China","China","MATCH"
"31599330","China","c(""China"", "" "")","MATCH"
"34264745","Brazil","Brazil","MATCH"
"34167460","NULL","c(""Spain"", ""Germany"", ""United_States"", ""Sweden"")","NOT MATCH"
