PMID,h_all_countries,a_all_countries,match,check
31831730,"c(""Sweden"", ""Denmark"", NA, ""United_Kingdom"")","c(""Sweden"", ""Denmark"", ""Costa_Rica"", ""United_Kingdom"")",NOT MATCH,
33237311,"c(""Switzerland"", ""Denmark"", ""Finland"", ""Germany"")","c(""Switzerland"", ""Denmark"", ""Finland"", ""Germany"")",MATCH,
34329395,"c(""Switzerland"", ""Germany"")","c(""Switzerland"", ""Germany"")",MATCH,
33174605,"c(""Switzerland"", ""India"", NA)","c(""Switzerland"", ""India"", ""United_Kingdom"")",NOT MATCH,
34259866,"c(""Taiwan"", ""China, Taiwan"")",Taiwan,NOT MATCH,
33750297,"c(""United_Kingdom"", ""Germany"", ""Argentina"", ""Sweden"", ""Serbia"", ""Israel"", ""Croatia"", ""Kenya"")","c(""United_Kingdom"", "" "", ""Germany"", ""Argentina"", ""Serbia"", ""Israel"", ""Croatia"", ""Kenya"")",NOT MATCH,
33156333,"c(""United_Kingdom"", ""Germany"", ""Switzerland"", ""United_States"", ""Italy"")","c(""United_Kingdom"", ""Germany"", ""Switzerland"", ""United_States"", ""Italy"")",MATCH,
33766657,"c(""United_Kingdom"", ""Germany"")","c(""United_Kingdom"", ""Germany"")",MATCH,
33753737,"c(""United_Kingdom"", ""Italy"", ""France"")","c(""United_Kingdom"", ""Italy"", ""France"")",MATCH,
33068406,"c(""United_Kingdom"", ""Italy"")","c(""United_Kingdom"", "" "")",MATCH,
33125078,"c(""United_Kingdom"", ""Sweden"", ""Italy"")","c(""United_Kingdom"", ""Sweden"", ""Italy"")",MATCH,
33211869,"c(""United_Kingdom"", ""United_States"", ""Germany"", ""France"")","c(""United_Kingdom"", ""United_States"", ""Germany"", "" "", ""France"")",MATCH,
33270111,"c(""United_Kingdom"", ""United_States"", ""Spain"", ""Switzerland"", ""Poland"")","c(""United_Kingdom"", ""United_States"", ""Spain"", ""Switzerland"", ""Poland"")",MATCH,
33045747,"c(""United_Kingdom"", ""United_States"")","c(""United_Kingdom"", ""United_States"")",MATCH,
34349739,"c(""United_Kingdom"", NA)",United_Kingdom,MATCH,
33021634,"c(""United_States"", ""Brazil"", NA)","c(""United_States"", ""Brazil"", ""Costa_Rica"")",NOT MATCH,
33245761,"c(""United_States"", ""Canada"", ""Ukraine"")","c(""United_States"", ""Canada"", ""Ukraine"")",MATCH,
34010390,"c(""United_States"", ""Canada"")","c(""United_States"", ""Canada"")",MATCH,
33772585,"c(""United_States"", ""Canada"")","c(""United_States"", ""Canada"")",MATCH,
33568057,"c(""United_States"", ""Chile"")","c(""United_States"", ""Chile"")",MATCH,
33849445,"c(""United_States"", ""Denmark"", ""China"")","c(""United_States"", ""Denmark"", ""China"")",MATCH,
33125055,"c(""United_States"", ""France"", ""Greece"", ""Netherlands"", NA)","c(""United_States"", ""France"", ""Greece"", ""Netherlands"", ""United_Arab_Emirates"")",NOT MATCH,
33514395,"c(""United_States"", ""Israel"")","c(""United_States"", ""Israel"")",MATCH,
34313872,"c(""United_States"", ""Japan"")","c(""United_States"", ""Japan"")",MATCH,
33156327,"c(""United_States"", ""Mexico, United_States"", ""Denmark"", ""Sweden"")","c(""United_States"", ""Denmark"", ""Sweden"")",NOT MATCH,
33313778,"c(""United_States"", ""Mexico"", NA)","c(""United_States"", ""Mexico"")",MATCH,
33068435,"c(""United_States"", ""Pakistan"", ""Australia"", ""China"", ""United_Kingdom"")","c(""United_States"", ""Pakistan"", ""Australia"", ""China"", ""United_Kingdom"")",MATCH,
34012763,"c(""United_States"", ""Pakistan"")","c(""United_States"", ""Pakistan"")",MATCH,
33953926,"c(""United_States"", ""Poland"", ""Austria"")","c(""United_States"", ""Poland"", ""Austria"")",MATCH,
33942461,"c(""United_States"", ""Slovenia"")","c(""United_States"", ""Slovenia"")",MATCH,
32986834,"c(""United_States"", ""Switzerland"", ""Denmark"")","c(""United_States"", ""Switzerland"", ""Denmark"")",MATCH,
34314492,"c(""United_States"", ""United_Kingdom"", ""Georgia, United_States"", ""Australia"")","c(""United_States"", ""Australia"", ""United_Kingdom"")",NOT MATCH,
33995899,"c(""United_States"", ""United_Kingdom"")","c(""United_States"", ""United_Kingdom"")",MATCH,
34090324,"c(""United_States"", NA)","c(""United_States"", "" "")",MATCH,
33279968,"c(""United_States"", NA)","c(""United_States"", ""Italy"", "" "", ""Argentina"")",NOT MATCH,
33110585,"c(""Vietnam"", NA)","c(""Vietnam"", ""South_Korea"")",NOT MATCH,
33997188,"c(NA, ""Austria"", ""India"")","c(""Czechia"", ""Austria"", "" "")",NOT MATCH,
33126250,"c(NA, ""China"")",China,MATCH,
33147622,"c(NA, ""China"")",China,MATCH,
32778890,"c(NA, ""China"")",China,MATCH,
33231677,"c(NA, ""Germany"")","c(""Russia"", ""Germany"")",MATCH,
34075103,"c(NA, ""Germany"")","c(""Saudi_Arabia"", ""Germany"")",NOT MATCH,
34061826,"c(NA, ""Germany"")","c(""United_States"", ""Germany"")",NOT MATCH,
32829394,"c(NA, ""India"", ""Singapore"")","c(""United_States"", ""India"", ""Singapore"")",NOT MATCH,
33151287,"c(NA, ""Mexico, United_States"", ""United_States"", ""Sweden"", ""Denmark"")","c(""Romania"", ""United_States"", ""Sweden"", ""Denmark"")",NOT MATCH,
33166149,"c(NA, ""Netherlands"", ""China"")","c(""United_States"", ""Netherlands"", ""China"", ""South_Africa"")",NOT MATCH,
34318869,"c(NA, ""Switzerland"")",Switzerland,MATCH,
32502232,"c(NA, ""United_States"")","c("" "", ""United_States"")",MATCH,
33342295,Canada,"c("" "", ""Canada"")",MATCH,
33735471,Canada,Canada,MATCH,
33968360,Canada,Canada,MATCH,
33599246,Canada,Canada,MATCH,
32436344,Canada,Canada,MATCH,
33313828,Canada,Canada,MATCH,
32997753,Chile,Chile,MATCH,
32702093,Chile,Chile,MATCH,
32990749,China,"c(""China"", "" "")",MATCH,
33515030,China,"c(""China"", "" "")",MATCH,
34022814,China,"c(""China"", "" "")",MATCH,
31599330,China,"c(""China"", "" "")",MATCH,
34339812,China,"c(""Macao"", ""China"")",NOT MATCH,
33837660,China,China,MATCH,
34273956,China,China,MATCH,
33685493,China,China,MATCH,
34335304,China,China,MATCH,
34113986,China,China,MATCH,
34037703,China,China,MATCH,
34164644,China,China,MATCH,
33147626,China,China,MATCH,
34344425,China,China,MATCH,
33306802,China,China,MATCH,
34085038,China,China,MATCH,
33984507,China,China,MATCH,
34175476,China,China,MATCH,
33906563,China,China,MATCH,
33010176,China,China,MATCH,
34120586,China,China,MATCH,
33993461,China,China,MATCH,
33074314,China,China,MATCH,
33095866,China,China,MATCH,
33068433,China,China,MATCH,
33219686,China,China,MATCH,
33151298,China,China,MATCH,
33511767,China,China,MATCH,
33275967,China,China,MATCH,
32941628,China,China,MATCH,
33416829,China,China,MATCH,
33216893,China,China,MATCH,
33581334,China,China,MATCH,
32591816,China,China,MATCH,
33399824,China,China,MATCH,
33137192,China,China,MATCH,
33985427,China,China,MATCH,
33010163,China,China,MATCH,
32871007,China,China,MATCH,
32766766,China,China,MATCH,
34179956,China,China,MATCH,
34214659,China,China,MATCH,
31799597,China,China,MATCH,
33686532,China,China,MATCH,
33999180,China,China,MATCH,
34156447,China,China,MATCH,
33193666,China,China,MATCH,
33719338,China,China,MATCH,
33010177,China,China,MATCH,
34263466,China,China,MATCH,
33927717,China,China,MATCH,
34244719,China,China,MATCH,
34013639,China,China,MATCH,
33359127,China,China,MATCH,
34154536,China,China,MATCH,
33406221,China,China,MATCH,
33219685,China,China,MATCH,
33965348,China,China,MATCH,
34007299,China,China,MATCH,
34122523,China,China,MATCH,
33045737,China,China,MATCH,
32990748,China,China,MATCH,
34305610,China,China,MATCH,
32472030,China,China,MATCH,
32820322,China,China,MATCH,
33203359,China,China,MATCH,
33418085,China,China,MATCH,
31495872,China,China,MATCH,
31642484,China,China,MATCH,
33539888,China,China,MATCH,
32025315,China,China,MATCH,
33045776,China,China,MATCH,
31584086,China,China,MATCH,
33068436,China,China,MATCH,
34224878,China,China,MATCH,
33306787,China,China,MATCH,
33247934,China,China,MATCH,
34183042,China,China,MATCH,
33981200,China,China,MATCH,
33662628,China,China,MATCH,
32487193,China,China,MATCH,
33657667,China,China,MATCH,
33045751,China,China,MATCH,
32055858,China,China,MATCH,
32294193,China,China,MATCH,
32111231,China,China,MATCH,
34000890,Denmark,Denmark,MATCH,
33603824,Egypt,Egypt,MATCH,
34060634,Finland,Finland,MATCH,
33416858,France,France,MATCH,
33594411,France,France,MATCH,
33994075,France,France,MATCH,
33963857,France,France,MATCH,
34247232,France,France,MATCH,
34245304,France,France,MATCH,
33599248,France,France,MATCH,
34023906,France,France,MATCH,
31452162,"Georgia, United_States",United_States,MATCH,
34122663,Germany,Germany,MATCH,
33211880,Germany,Germany,MATCH,
34323935,Germany,Germany,MATCH,
33793824,Germany,Germany,MATCH,
34265261,Germany,Germany,MATCH,
33724838,Germany,Germany,MATCH,
33689356,Germany,Germany,MATCH,
34316700,Germany,Germany,MATCH,
33847696,Germany,Germany,MATCH,
33948455,Germany,Germany,MATCH,
33430968,Germany,Germany,MATCH,
33080028,Greece,Greece,MATCH,
34303324,Hungary,Hungary,MATCH,
33995478,Hungary,Hungary,MATCH,
32337573,India,"c("" "", ""India"")",MATCH,
33095885,India,"c(""India"", "" "")",MATCH,
32696292,India,"c(""India"", "" "")",MATCH,
34107869,India,India,MATCH,
34235237,India,India,MATCH,
34269889,India,India,MATCH,
33685383,India,India,MATCH,
34048545,India,India,MATCH,
33898816,India,India,MATCH,
33480398,India,India,MATCH,
33238002,India,India,MATCH,
33985433,India,India,MATCH,
33136065,India,India,MATCH,
32493955,India,India,MATCH,
32090261,India,India,MATCH,
32345779,India,India,MATCH,
34188160,India,India,MATCH,
33196841,India,India,MATCH,
33113081,India,India,MATCH,
33465550,India,India,MATCH,
33215706,India,India,MATCH,
34197127,India,India,MATCH,
34107016,Italy,"c(""Italy"", "" "")",MATCH,
33882120,Italy,Italy,MATCH,
33083503,Italy,Italy,MATCH,
34023895,Italy,Italy,MATCH,
33537385,Italy,Italy,MATCH,
33759118,Italy,Italy,MATCH,
33191981,Italy,Italy,MATCH,
33511845,Japan,"c(""Japan"", "" "")",MATCH,
33455583,Japan,Japan,MATCH,
33156332,Japan,Japan,MATCH,
33074547,Japan,Japan,MATCH,
33179747,Japan,Japan,MATCH,
33125081,Japan,Japan,MATCH,
33705530,Japan,Japan,MATCH,
33985559,Japan,Japan,MATCH,
33645624,Japan,Japan,MATCH,
33576798,Japan,Japan,MATCH,
33174597,Japan,Japan,MATCH,
31724722,Japan,Japan,MATCH,
33877858,"Jersey, United_States",United_States,MATCH,
32685631,Malaysia,Malaysia,MATCH,
34142845,Mexico,"c(""Mexico"", "" "")",MATCH,
32382747,NA,NA,NA,
32496513,NA,NA,NA,
33175170,NA,NA,NA,
33106848,NA,NA,NA,
32392583,NA,NA,NA,
32510549,NA,NA,NA,
32436932,NA,NA,NA,
34224351,NA,NA,NA,
33877974,NA,NA,NA,
33909069,NA,NA,NA,
33290552,NA,NA,NA,
33119753,NA,NA,NA,
32632099,Norway,Norway,MATCH,
34330336,Norway,Norway,MATCH,
33053178,Poland,Poland,MATCH,
33247931,Portugal,Portugal,MATCH,
34178036,Russia,Russia,MATCH,
33242091,Russia,Russia,MATCH,
33348264,Serbia,Serbia,MATCH,
32920000,Serbia,Serbia,MATCH,
32291734,Singapore,Singapore,MATCH,
34319727,Slovenia,Slovenia,MATCH,
33252190,Spain,Spain,MATCH,
33942873,Spain,Spain,MATCH,
32818254,Spain,Spain,MATCH,
33510575,Spain,Spain,MATCH,
33655207,Spain,Spain,MATCH,
32976679,Sweden,Sweden,MATCH,
34240464,Sweden,Sweden,MATCH,
33156326,Switzerland,Switzerland,MATCH,
33849055,Switzerland,Switzerland,MATCH,
31665454,Switzerland,Switzerland,MATCH,
34266386,Taiwan,Taiwan,MATCH,
32915954,Taiwan,Taiwan,MATCH,
33485793,Taiwan,Taiwan,MATCH,
32773643,Taiwan,Taiwan,MATCH,
32934277,Thailand,Thailand,MATCH,
34285834,Thailand,Thailand,MATCH,
33258964,Thailand,Thailand,MATCH,
34339611,Turkey,Turkey,MATCH,
33245775,United_Kingdom,"c(""United_Kingdom"", ""United_States"")",NOT MATCH,
34081107,United_Kingdom,United_Kingdom,MATCH,
33813885,United_Kingdom,United_Kingdom,MATCH,
34048576,United_Kingdom,United_Kingdom,MATCH,
33137190,United_Kingdom,United_Kingdom,MATCH,
34136652,United_Kingdom,United_Kingdom,MATCH,
33211879,United_Kingdom,United_Kingdom,MATCH,
33152070,United_Kingdom,United_Kingdom,MATCH,
33647438,United_Kingdom,United_Kingdom,MATCH,
33594085,United_Kingdom,United_Kingdom,MATCH,
31612961,United_Kingdom,United_Kingdom,MATCH,
33950237,United_States,"c(""United_States"", "" "")",MATCH,
33929893,United_States,"c(""United_States"", "" "")",MATCH,
33763309,United_States,United_States,MATCH,
33116744,United_States,United_States,MATCH,
33104772,United_States,United_States,MATCH,
34048547,United_States,United_States,MATCH,
34156448,United_States,United_States,MATCH,
33547946,United_States,United_States,MATCH,
33436076,United_States,United_States,MATCH,
34321100,United_States,United_States,MATCH,
34241085,United_States,United_States,MATCH,
34006627,United_States,United_States,MATCH,
34017945,United_States,United_States,MATCH,
34034817,United_States,United_States,MATCH,
34080131,United_States,United_States,MATCH,
33087719,United_States,United_States,MATCH,
34042771,United_States,United_States,MATCH,
34100240,United_States,United_States,MATCH,
32890396,United_States,United_States,MATCH,
33068428,United_States,United_States,MATCH,
33539887,United_States,United_States,MATCH,
33051688,United_States,United_States,MATCH,
34019655,United_States,United_States,MATCH,
33095860,United_States,United_States,MATCH,
34252924,United_States,United_States,MATCH,
33095870,United_States,United_States,MATCH,
33382886,United_States,United_States,MATCH,
33196830,United_States,United_States,MATCH,
33600011,United_States,United_States,MATCH,
33170210,United_States,United_States,MATCH,
33079988,United_States,United_States,MATCH,
33264401,United_States,United_States,MATCH,
34015823,United_States,United_States,MATCH,
32761142,United_States,United_States,MATCH,
34046592,United_States,United_States,MATCH,
34032471,United_States,United_States,MATCH,
33045727,United_States,United_States,MATCH,
31991337,United_States,United_States,MATCH,
33080015,United_States,United_States,MATCH,
33306801,United_States,United_States,MATCH,
33226064,United_States,United_States,MATCH,
33952239,United_States,United_States,MATCH,
34127402,United_States,United_States,MATCH,
34046172,United_States,United_States,MATCH,
33574307,United_States,United_States,MATCH,
33046717,United_States,United_States,MATCH,
33757430,United_States,United_States,MATCH,
32386298,United_States,United_States,MATCH,
33137183,United_States,United_States,MATCH,
34125008,United_States,United_States,MATCH,
33294866,United_States,United_States,MATCH,
33973408,United_States,United_States,MATCH,
33676930,United_States,United_States,MATCH,
33151290,United_States,United_States,MATCH,
31688940,United_States,United_States,MATCH,
33086069,United_States,United_States,MATCH,